decade,COMPANY_NAME,PAIDUP_CAPITAL
1850,JHUNJHUNU COMMERCIAL COMPANY LIMITED,2000
1860,BOMBAY BURMAH TRADING CORPORATIONLIMITED,139543800
1870,PENINSULA LAND LIMITED,559000000
1880,D C M LIMITED,186746315
1890,CENTURY TEXTILES AND INDUSTRIES LIMITED,1116900000
1900,THE INDIAN HOTELS COMPANY LIMITED,1189258445
1910,THE KARUR VYSYA BANK LIMITED,1598641438
1920,THE SOUTH INDIAN BANK LIMITED,1809722151
1930,SHREENIWAS COTTON MILLS LIMITED,1986166600
1940,J C T LIMITED,2096066470
1950,MAWMLUH-CHERRA CEMENTS LTD,1628285140
1960,RANBAXY LABORATORIES LTD,2128317485
1970,KERALA STATE ELECTRONICS DEVELOPMENTCORPORATION LIMITED,2035518100
1980,AVINASH BHOSALE INFRASTRUCTURE PVT LTD,2146500000
1990,SONY DADC MANUFACTURING INDIA PRIVATELIMITED,2142858680
2000,BOI AXA INVESTMENT MANAGERS PRIVATELIMITED,2146035840
2010,SBESS SERVICES PROJECTCO TWO PRIVATELIMITED,2145926750
2020,ATLBATTERY TECHNOLOGY (INDIA) PRIVATELIMITED,1793500000
5600,WHITTLE SPINNING AND MANUFACTURING COMPANY LIMITED ( 1893),0
9070,958U INFOTECH PRIVATE LIMITED,0
