REGISTERED_STATE,no_of_companies
Maharashtra,395282
Delhi,348230
West Bengal,207005
Tamil Nadu,150871
Karnataka,125779
Uttar Pradesh,116337
Telangana,112401
Gujarat,105554
Rajasthan,61370
Kerala,56098
Haryana,51039
Madhya Pradesh,41318
Bihar,35920
Andhra Pradesh,33050
Punjab,32440
Orissa,27023
Jharkhand,15078
Chandigarh,15018
Assam,12078
Chattisgarh,10703
Goa,8942
Uttaranchal,8924
Himachal Pradesh,6591
Jammu and Kashmir,5978
Pondicherry,3454
Meghalaya,1115
Manipur,1056
Tripura,645
Arunachal Pradesh,629
Nagaland,620
Dadra and Nagra Haveli,550
Andaman and Nicobar Islands,480
Daman and Diu,397
Mizoram,175
Lakshadweep,18
Sikkim,2
