REGISTERED_STATE,COMPANY_SUB_CATEGORY,category_count
Andaman and Nicobar Islands,Non-govt company,477
Andaman and Nicobar Islands,State Govt company,2
Andaman and Nicobar Islands,Union Govt company,1
Andhra Pradesh,Guarantee and Association comp,8
Andhra Pradesh,Non-govt company,32742
Andhra Pradesh,State Govt company,76
Andhra Pradesh,Subsidiary of Foreign Company,145
Andhra Pradesh,Union Govt company,4
Arunachal Pradesh,Non-govt company,618
Arunachal Pradesh,State Govt company,11
Assam,Guarantee and Association comp,6
Assam,Non-govt company,12004
Assam,State Govt company,54
Assam,Subsidiary of Foreign Company,2
Assam,Union Govt company,10
Bihar,Guarantee and Association comp,19
Bihar,Non-govt company,35790
Bihar,State Govt company,91
Bihar,Subsidiary of Foreign Company,3
Bihar,Union Govt company,6
Chandigarh,Guarantee and Association comp,1
Chandigarh,Non-govt company,14930
Chandigarh,State Govt company,41
Chandigarh,Subsidiary of Foreign Company,38
Chandigarh,Union Govt company,5
Chattisgarh,Guarantee and Association comp,2
Chattisgarh,Non-govt company,10646
Chattisgarh,State Govt company,32
Chattisgarh,Subsidiary of Foreign Company,7
Chattisgarh,Union Govt company,11
Dadra and Nagra Haveli,Non-govt company,545
Dadra and Nagra Haveli,Subsidiary of Foreign Company,2
Dadra and Nagra Haveli,Union Govt company,3
Daman and Diu,Guarantee and Association comp,1
Daman and Diu,Non-govt company,394
Daman and Diu,State Govt company,2
Delhi,Guarantee and Association comp,140
Delhi,Non-govt company,343483
Delhi,State Govt company,44
Delhi,Subsidiary of Foreign Company,2387
Delhi,Union Govt company,228
Goa,Guarantee and Association comp,4
Goa,Non-govt company,8872
Goa,State Govt company,23
Goa,Subsidiary of Foreign Company,33
Goa,Union Govt company,1
Gujarat,Guarantee and Association comp,634
Gujarat,Non-govt company,104379
Gujarat,State Govt company,106
Gujarat,Subsidiary of Foreign Company,351
Gujarat,Union Govt company,9
Haryana,Guarantee and Association comp,16
Haryana,Non-govt company,49574
Haryana,State Govt company,35
Haryana,Subsidiary of Foreign Company,981
Haryana,Union Govt company,5
Himachal Pradesh,Guarantee and Association comp,3
Himachal Pradesh,Non-govt company,6556
Himachal Pradesh,State Govt company,24
Himachal Pradesh,Subsidiary of Foreign Company,4
Himachal Pradesh,Union Govt company,3
Jammu and Kashmir,Guarantee and Association comp,8
Jammu and Kashmir,Non-govt company,5924
Jammu and Kashmir,State Govt company,41
Jammu and Kashmir,Subsidiary of Foreign Company,1
Jammu and Kashmir,Union Govt company,3
Jharkhand,Guarantee and Association comp,12
Jharkhand,Non-govt company,15005
Jharkhand,State Govt company,37
Jharkhand,Subsidiary of Foreign Company,3
Jharkhand,Union Govt company,15
Karnataka,Guarantee and Association comp,82
Karnataka,Non-govt company,122753
Karnataka,State Govt company,124
Karnataka,Subsidiary of Foreign Company,2321
Karnataka,Union Govt company,27
Kerala,Guarantee and Association comp,62
Kerala,Non-govt company,55671
Kerala,State Govt company,153
Kerala,Subsidiary of Foreign Company,125
Kerala,Union Govt company,12
Lakshadweep,Non-govt company,15
Lakshadweep,Union Govt company,3
Madhya Pradesh,Guarantee and Association comp,16
Madhya Pradesh,Non-govt company,41123
Madhya Pradesh,State Govt company,106
Madhya Pradesh,Subsidiary of Foreign Company,42
Madhya Pradesh,Union Govt company,7
Maharashtra,Guarantee and Association comp,833
Maharashtra,Non-govt company,389438
Maharashtra,State Govt company,163
Maharashtra,Subsidiary of Foreign Company,3460
Maharashtra,Union Govt company,90
Manipur,Non-govt company,1033
Manipur,State Govt company,20
Manipur,Subsidiary of Foreign Company,1
Manipur,Union Govt company,1
Meghalaya,Guarantee and Association comp,2
Meghalaya,Non-govt company,1089
Meghalaya,State Govt company,19
Meghalaya,Subsidiary of Foreign Company,2
Meghalaya,Union Govt company,3
Mizoram,Non-govt company,166
