corporate_identification_number,company_name,registered_state,date,rank
U51909AN2020PTC005479,ANDAMAN RUPSHA MARKETING AND NETWORKINGPRIVATE LIMITED,Andaman and Nicobar Islands,2020-01-13,1
U92410AN2020PTC005478,LILIUM ADVENTURE SPORTS PRIVATE LIMITED,Andaman and Nicobar Islands,2020-01-03,2
U74999AN2019PTC005477,TAURINE FILMS AND TRAVELS PRIVATELIMITED,Andaman and Nicobar Islands,2019-12-20,3
U70109AN2019PTC005476,KMS DREAM CREATIONS PRIVATE LIMITED,Andaman and Nicobar Islands,2019-12-16,4
U60221AN2019PTC005475,DE WHALEN PARADISE PRIVATE LIMITED,Andaman and Nicobar Islands,2019-12-06,5
U24110AP2020PTC114060,KOTTAPALLI SURFACTANTS AND SERVICESINDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U24290AP2020PTC114059,TGV SODIUM & ELECTROLITE PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U51909AP2020PTC114057,SUBA PRADA OILS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U93090AP2020NPL114058,SAMPATH SOMESHWARA & PADMININARASIMHAMURTHY FOUNDATION,Andhra Pradesh,2020-01-31,1
U14290AP2020PTC114065,AGL GRANITES EXCAVATION INDIA PRIVATELIMITED,Andhra Pradesh,2020-01-31,1
U15549AP2020PTC114067,GURUBILLI FOOD PRODUCTS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U63090AP2020PTC114061,ZUP TOURS AND TRAVELS PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U80903AP2020PTC114069,COGNOZA TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U85100AP2020OPC114064,FALCONREMEDIES (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U22219AP2020PTC114056,NOWMAX INFOTAINMENT PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U22219AP2020PTC114063,BATHINA BROADCASTING AND PUBLICATIONPRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U72900AP2020OPC114062,LITHIFIC (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U74999AP2020OPC114068,AAA SGP MEDIA (OPC) PRIVATE LIMITED,Andhra Pradesh,2020-01-31,1
U74999AP2020PTC114066,HREEM CONSULTANCY CATALYST PRIVATELIMITED,Andhra Pradesh,2020-01-31,1
U70200AP2020PTC114054,SREE ASHWAMEDHA REALTORS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U51909AP2020PTC114053,VIJAY CLOTH EMPORIUM PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U92120AP2020PTC114050,AP DIGITAL VISION PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U55100AP2020PTC114051,PRAYANIKA SERVICES PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U52320AP2020PTC114052,LAVA KUSH CLOTHING PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020OPC114047,SANJANA TECHNO SOLUTIONS (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114046,DIGITAL CLOUDQ SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114049,SFSF INFOTECH PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72900AP2020PTC114055,NOVODHI SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U74999AP2020PTC114048,PICK A BOOK PRIVATE LIMITED,Andhra Pradesh,2020-01-30,2
U72200AP2020PTC114041,ASKMR SOFT SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74300AP2020PTC114037,SRH MARKETING PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74900AP2020PTC114034,NAGYA PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U51909AP2020PTC114042,WHITEBOX ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U45100AP2020PTC114045,MAMATHA & MOKSHITH INFRASTRUCTURESPRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U55209AP2020PTC114036,SRIVARIPADAM LUXURY HOTELS PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U80904AP2020PTC114039,ARYOS INTERNATIONAL EDUCATION PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U45209AP2020PTC114033,BILLDOLL ENTERPRISES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U22300AP2020PTC114031,HR GLOBAL NETWORK PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U65990AP2020PLN114044,RAJAHMUNDRY SRI GOKUL NIDHI LIMITED,Andhra Pradesh,2020-01-29,3
U45309AP2020PTC114035,MRNIRMAN INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114032,LEDORY TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114038,HANABIRA GROUPS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U72900AP2020PTC114043,KRITRIMAMEDHA SOLUTIONS PRIVATE LIMITED,Andhra Pradesh,2020-01-29,3
U74999AP2020PTC114040,MOJO OVERSEAS CONSULTANCY PRIVATELIMITED,Andhra Pradesh,2020-01-29,3
U92410AP2020PTC114029,IN2 FITNESS PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U45309AP2020PTC114024,VLR INFRASTRUCTURES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U72900AP2020OPC114025,NERIMETLA SOLUTIONS (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U72900AP2020PTC114028,IPLAY TECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020OPC114023,HILTAPP ONLINE SERVICES (OPC) PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114026,GOGARUDHA PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114027,DUROTECH INDUSTRIES PRIVATE LIMITED,Andhra Pradesh,2020-01-28,4
U74999AP2020PTC114030,TUOJIANG TECHNOLOGY SERVICE PRIVATELIMITED,Andhra Pradesh,2020-01-28,4
U01100AP2020PTC114021,PVS GREEN ESTATES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U01111AP2020PTC114018,BHUVI SURYA ECOLOGICALS AND CULTIVATORSPRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U05000AP2020PTC114011,KRISHNA AQUATECH PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U15549AP2020PTC114010,KOTHA AGRO FOODS PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U80900AP2020PTC114017,NIPUNA LEARNING EXCELLENCE PRIVATELIMITED,Andhra Pradesh,2020-01-27,5
U80904AP2020PTC114016,RADICAL EDUCATION INFRASTRUCTURE ANDSERVICES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U80904AP2020PTC114020,INTERNATIONAL INSTITUTE OF MODERNTECHNOLOGIES PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114012,SOILS & ROOFS INFRASTRUCTURE ANDDEVELOPERS INDIA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114014,UNBEND INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45309AP2020PTC114022,EMPEROR MANSIONS INFRA & PROJECTSPRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U72900AP2020PTC114019,PRANUVISH GLOBAL PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45500AP2020PTC114013,COMMUNITY BUILDERS PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U45500AP2020PTC114015,CRBR INFRA PRIVATE LIMITED,Andhra Pradesh,2020-01-27,5
U85300AR2020NPL013582,SUBANSIRI MAT WEAVING ASSOCIATION,Arunachal Pradesh,2020-01-31,1
U85310AR2020NPL013581,RUMBE BUI AGARBATTI MANUFACTURERSASSOCIATION,Arunachal Pradesh,2020-01-29,2
U20200AR2020PTC013580,K-4 BROTHERS BAMBOO MANUFACTURER PRIVATELIMITED,Arunachal Pradesh,2020-01-23,3
U63030AR2020PTC013579,ITAMOTO TRAVEL PRIVATE LIMITED,Arunachal Pradesh,2020-01-21,4
U74999AR2020PTC013578,SPACE MIRACLE STUDIOS PRIVATE LIMITED,Arunachal Pradesh,2020-01-09,5
U01100AS2020PTC019888,MAHALAXMI AGRO FARMER PRODUCER COMPANYLIMITED,Assam,2020-01-31,1
U51909AS2020PTC019889,MAHIN MAHIJA TRADE PRIVATE LIMITED,Assam,2020-01-31,1
U24110AS2020PTC019884,SYNERGISTIC BIOTECH PRIVATE LIMITED,Assam,2020-01-30,2
U15134AS2020PTC019886,BARBHUIYA INTERNATIONAL PRIVATE LIMITED,Assam,2020-01-30,2
U15400AS2020PTC019887,LA MAGIE FOODS PRIVATE LIMITED,Assam,2020-01-30,2
U63000AS2020OPC019883,TRAVELSHONGI (OPC) PRIVATE LIMITED,Assam,2020-01-30,2
U85300AS2020NPL019885,TRANSFORMING MINDS FOUNDATION,Assam,2020-01-30,2
U52590AS2020PTC019882,NCA EXPORT PRIVATE LIMITED,Assam,2020-01-30,2
U85300AS2020PTC019881,JHSK PHARMACEUTICALS PRIVATE LIMITED,Assam,2020-01-29,3
U80904AS2020PTC019879,BIPROZ SOLUTIONS PRIVATE LIMITED,Assam,2020-01-29,3
U72900AS2020PTC019878,GRISIAL DEVELOPERS PRIVATE LIMITED,Assam,2020-01-29,3
U72900AS2020PTC019880,FIDEM IT SERVICES PRIVATE LIMITED,Assam,2020-01-29,3
U85100AS2020PTC019874,NEW LIFE HOSPITAL AND RESEARCH INSTITUTEPRIVATE LIMITED,Assam,2020-01-28,4
U36999AS2020PTC019876,CREATION HOME DECOR AND FURNISHINGPRIVATE LIMITED,Assam,2020-01-28,4
U65999AS2020PLN019877,JEEVAN SATHI GRAMIN VIKASH NIDHI LIMITED,Assam,2020-01-28,4
U45203AS2020PTC019875,NILSAMUDRA ASSOCIATES PRIVATE LIMITED,Assam,2020-01-28,4
U70109AS2020PTC019873,DEVAYA NAMO PRIVATE LIMITED,Assam,2020-01-27,5
U36994AS2020PTC019872,UDBHRITI PAVERS BLOCK PRIVATE LIMITED,Assam,2020-01-27,5
