year,COMPANY_NAME,PAIDUP_CAPITAL,rank
2000,RELOGISTICS INFRASTRUCTURE LIMITED,2101913000,1
2000,NANDI ECONOMIC CORRIDOR ENTERPRISESLIMITED.,2090466920,2
2000,MW UNITEXX LIMITED,2087292760,3
2000,NARAYANA HRUDAYALAYA LIMITED,2043608040,4
2000,PIPAVAV RAILWAY CORPORATION LIMITED,1960000200,5
2004,EON HADAPSAR INFRASTRUCTURE PRIVATELIMITED,2131500000,1
2004,SANYO BPL PRIVATE LIMITED,2089333780,2
2004,GKC PROJECTS LIMITED,2050787020,3
2004,FIRST FORGE LIMITED,2033333330,4
2004,FIRESTAR INTERNATIONAL LIMITED,1946501420,5
2008,BOSCH AUTOMOTIVE ELECTRONICS INDIAPRIVATE LIMITED,2130769230,1
2008,COFFEE DAY ENTERPRISES LIMITED,2112517190,2
2008,ASHLEY POWERTRAIN LIMITED,2091004190,3
2008,KERALA STATE INFORMATION TECHNOLOGYINFRASTRUCTURE LIMITED,2049592000,4
2008,RAJAHMUNDRY GODAVARI BRIDGE LIMITED,2039589000,5
2012,NACHI TECHNOLOGY INDIA PRIVATE LIMITED,2100000000,1
2012,HEXA INDUSTRIES PRIVATE LIMITED,2091810000,2
2012,MYTRAH VAYU (MANJIRA) PRIVATE LIMITED,2084506870,3
2012,SAHARA PURE EATABLES CORPORATION LIMITED,2050500000,4
2012,SEIREN INDIA PRIVATE LIMITED,2050000000,5
2016,CG TOLLWAY LIMITED,2035000000,1
2016,ILJIN GLOBAL INDIA PRIVATE LIMITED,2018850000,2
2016,SURAT SMART CITY DEVELOPMENT LIMITED,2000000000,3
2016,SMART CITY AHMEDABAD DEVELOPMENT LIMITED,2000000000,3
2016,BELAGAVI SMART CITY LIMITED,2000000000,3
2016,DAVANAGERE SMART CITY LIMITED,2000000000,3
2016,JAIPUR SMART CITY LIMITED,2000000000,3
2016,UDAIPUR SMART CITY LIMITED,2000000000,3
2016,KOTA SMART CITY LIMITED,2000000000,3
2016,BHOPAL SMART CITY DEVELOPMENTCORPORATION LIMITED,2000000000,3
2016,INDORE SMART CITY DEVELOPMENT LIMITED,2000000000,3
2016,JABALPUR SMART CITY LIMITED,2000000000,3
2016,GWALIOR SMART CITY DEVELOPMENTCORPORATION LIMITED,2000000000,3
2016,UJJAIN SMART CITY LIMITED,2000000000,3
2016,JSW PAINTS PRIVATE LIMITED,2000000000,3
2016,NAGPUR SMART AND SUSTAINABLE CITYDEVELOPMENT CORPORATION LIMITED,2000000000,3
2016,INDOSTAR HOME FINANCE PRIVATE LIMITED,2000000000,3
2016,COCHIN SMART MISSION LIMITED,2000000000,3
2016,KAKINADA SMART CITY CORPORATION LIMITED,2000000000,3
2016,GREATER VISAKHAPATNAM SMART CITYCORPORATION LIMITED,2000000000,3
2016,CENTRUM HOUSING FINANCE LIMITED,1982177860,4
2016,PUNE SMART CITY DEVELOPMENT CORPORATIONLIMITED,1960000000,5
2020,ATLBATTERY TECHNOLOGY (INDIA) PRIVATELIMITED,1793500000,1
2020,BHARAT CONSTRUCTIONS (INDIA) PRIVATELIMITED,762674880,2
2020,HENGLI HYDRAULIC INDIA PRIVATE LIMITED,560000000,3
2020,XIYIN INDIA PRIVATE LIMITED,360000000,4
2020,MUFG ENTERPRISE SOLUTIONS INDIA PRIVATELIMITED,312000000,5
5600,WHITTLE SPINNING AND MANUFACTURING COMPANY LIMITED ( 1893),0,1
9076,958U INFOTECH PRIVATE LIMITED,0,1
