corporate_identification_number,company_name,registered_state,paidup_capital,rank
U74999AN1988SGC000028,ANDAMAN AND NICOBAR ISLANDS INTEGRATEDDEVELOPMENT CORPORATION LIMITED.,Andaman and Nicobar Islands,109700600,1
U74999AN2017PTC005353,ANDAMAN AIRWAYS PRIVATE LIMITED,Andaman and Nicobar Islands,53502000,2
U55101AN2009PTC000125,MUNJOH RESORTS PRIVATE LIMITED,Andaman and Nicobar Islands,50000000,3
U62200AN2007PTC000227,ABLE AVIATION (INDIA) PRIVATE LIMITED,Andaman and Nicobar Islands,45250000,4
U02001AN1977PLC000005,ANDAMAN AND NICOBAR ISLANDS FOREST ANDPLANTATION DEVELOPMENT CORPORATIONLIMITED..,Andaman and Nicobar Islands,35918000,5
U15209AP2006PTC048708,SRI VIJAYA VISAKHA MILK PRODUCERSCOMPANY LIMITED (PART - IX A ),Andhra Pradesh,2129403500,1
U15421AP2002PLC039135,NIZAM DECCAN SUGARS LIMITED,Andhra Pradesh,2011500000,2
U35990AP2017PTC106732,SEOYON E-HWA SUMMIT AUTOMOTIVE ANANTAPURPRIVATE LIMITED,Andhra Pradesh,2011154970,3
U70102AP2016PLC098447,KAKINADA SMART CITY CORPORATION LIMITED,Andhra Pradesh,2000000000,4
U74900AP2016PLC098495,GREATER VISAKHAPATNAM SMART CITYCORPORATION LIMITED,Andhra Pradesh,2000000000,4
U15429AP2002PLC038489,NSL TEXTILES LIMITED,Andhra Pradesh,1932565780,5
U40101AR2013PLC008384,ARUNACHAL HYDRO POWER LIMITED,Arunachal Pradesh,1643000000,1
U40109AR2007PTC008424,DEVI ENERGIES PRIVATE LIMITED,Arunachal Pradesh,954808950,2
U40102AR2008PTC008252,T. K. ENGINEERING CONSORTIUM PRIVATELIMITED,Arunachal Pradesh,792124000,3
U45209AR2011PTC008425,RISER & PANEL INFRATECH PRIVATE LIMITED,Arunachal Pradesh,779062030,4
U45203AR2006PLC008234,EVEREST INFRA ENERGY LIMITED,Arunachal Pradesh,260110000,5
L23209AS1974GOI001470,BONGAIGAON REFINERY & PETROCHEMICALS LTD,Assam,1998179000,1
U51410AS2007SGC008410,DNP LIMITED,Assam,1672500000,2
U40109AS2003SGC007242,ASSAM POWER DISTRIBUTION COMPANY LIMITED,Assam,1627726100,3
U15511AS1999PLC005920,BRAHMAPUTRA METALLICS LIMITED,Assam,1405874650,4
U75112AS1965SGC001246,ASSAM INDUSTRIAL DEVELOPMENT CORPORATION LIMITED,Assam,1392080500,5
U40100BR1982SGC001627,BIHAR STATE HYDRO-ELECTRIC POWERCORPORATION LIMITED,Bihar,990400000,1
U14200BR1965GOI000767,PYRITES PHOSPHATES & CHEMICALS LIMITED,Bihar,954003000,2
U45201BR1978GOI001373,BHARAT WAGON AND ENGINEERING COMPANY LIMITED,Bihar,758487000,3
L21090BR1918PLC000013,HINDUSTAN MEDIA VENTURES LIMITED,Bihar,736715480,4
L75230BR1985PLC002083,SECURITY AND INTELLIGENCE SERVICES(INDIA) LIMITED,Bihar,733189870,5
U63010CH2013GOI034873,PUNJAB LOGISTICS INFRASTRUCTURE LIMITED,Chandigarh,1985150000,1
U70109CH2017PTC041586,DAWN RETAIL PRIVATE LIMITED,Chandigarh,1970000000,2
U55109CH2003PLC025876,BEST FOODS LIMITED,Chandigarh,1914000000,3
U74110CH1985PLC006425,METRO ECO GREEN RESORTS LIMITED,Chandigarh,1569476500,4
L15322CH1991PLC011537,RANA SUGARS LIMITED,Chandigarh,1535394700,5
U13100CT2008GOI020711,NMDC-CMDC LIMITED,Chattisgarh,1928377180,1
U26942CT1985PLC003076,AMBUJA CEMENT EASTERN LIMITED,Chattisgarh,1924516000,2
U04010CT1995PLC010142,VANDANA VIDHYUT LIMITED,Chattisgarh,1669882270,3
U13209CT2004PTC017162,SWASTIK POWER & MINERAL RESOURCESPRIVATE LIMITED,Chattisgarh,1290856000,4
U40105CT1995PLC008961,DAEWOO POWER INDIA LIMITED,Chattisgarh,1005966760,5
L74999DN1987PLC000035,K-LIFESTYLE & INDUSTRIES LIMITED,Dadra and Nagra Haveli,1017804000,1
L99999DN1982PLC000128,JBF INDUSTRIES LIMITED,Dadra and Nagra Haveli,967789390,2
U40100DN2012GOI000405,DNH POWER DISTRIBUTION CORPORATIONLIMITED,Dadra and Nagra Haveli,800000000,3
U45201DN2006PLC000197,ACTIF CORPORATION LIMITED,Dadra and Nagra Haveli,712571550,4
U65910DN2000PLC000147,GLOBAL SOFTECH LIMITED,Dadra and Nagra Haveli,650000000,5
L67120DD1987PLC002395,PSL LIMITED,Daman and Diu,1249344840,1
U67120DD1993PTC004732,NIRPAN SECURITIES PRIVATE LIMITED,Daman and Diu,883725000,2
L74950DD2005PLC003775,RADHA MADHAV CORPORATION LIMITED,Daman and Diu,863422750,3
U65990DD1993PTC009797,DOLAT CAPITAL MARKET PVT LIMITED,Daman and Diu,508776910,4
U51900DD1999PTC009780,CITADELLE AGENCIES PRIVATE LIMITED,Daman and Diu,425988930,5
U40105DL2018PTC337544,SBESS SERVICES PROJECTCO TWO PRIVATELIMITED,Delhi,2145926750,1
L72200DL1984PLC017510,PAN INDIA CORPORATION LIMITED,Delhi,2142565000,2
U35914DL2006PTC150369,BESTEX MM INDIA PRIVATE LIMITED,Delhi,2136000000,3
U40108DL2010FTC285033,INDUS CLEAN ENERGY (INDIA) PRIVATELIMITED,Delhi,2122066640,4
U74110DL2013PTC249235,EBRO INDIA PRIVATE LIMITED,Delhi,2116132020,5
U55101GA2009PTC006089,VMSALGAOCAR HOTELS AND RESORTS PRIVATELIMITED,Goa,1802100000,1
U63030GA2016PLC013017,GMR GOA INTERNATIONAL AIRPORT LIMITED,Goa,1600000000,2
L65191GA1994PLC001620,CENTURION BANK OF PUNJAB LIMITED,Goa,1566856000,3
U29309GA2019FTC014014,SYNTEGON TECHNOLOGY INDIA PRIVATELIMITED,Goa,1501000000,4
L26932GA1987PLC006287,PRINCE PIPES AND FITTINGS LIMITED,Goa,1100257590,5
U15400GJ2019PLC106866,ZYDUS WELLNESS PRODUCTS LIMITED,Gujarat,2144272980,1
L74140GJ1995PLC025261,ALPS BPO SERVICES LIMITED,Gujarat,2101000000,2
L61200GJ2010PLC060285,ESSAR SHIPPING LIMITED.,Gujarat,2069760720,3
U25199GJ2007PLC050164,HAZIRA PIPE MILL LIMITED,Gujarat,2057531330,4
U65993GJ2013PTC077668,ADDLIFE INVESTMENTS PRIVATE LIMITED,Gujarat,2050000000,5
U15500HR2010PLC041616,NOURISHCO BEVERAGES LIMITED,Haryana,2130000000,1
U74900HR2012PTC048540,NACHI TECHNOLOGY INDIA PRIVATE LIMITED,Haryana,2100000000,2
U29100HR2010FTC041709,NIDEC INDIA PRIVATE LIMITED,Haryana,2093000000,3
U34300HR1997PTC051757,KEIHIN INDIA MANUFACTURING PRIVATELIMITED,Haryana,2076777000,4
U51909HR2015FTC055144,BAXALTA BIOSCIENCE INDIA PRIVATE LIMITED,Haryana,2002376120,5
L24231HP1984PLC006028,MOREPEN LABORATORIES LIMITED,Himachal Pradesh,2096172506,1
U40102HP2010PLC031697,L&T HIMACHAL HYDROPOWER LIMITED,Himachal Pradesh,2005500000,2
U17117HP2000PLC026391,GPI TEXTILES LTD,Himachal Pradesh,1687541000,3
U40101HP1997PLC019959,MALANA POWER COMPANY LIMITED,Himachal Pradesh,1475257310,4
L25209HP1989PLC009557,STURDY INDUSTRIES LIMITED,Himachal Pradesh,1468507000,5
U65920JK2005GOI002523,JAMMU AND KASHMIR DEVELOPMENT FINANCECORPORATION LIMITED,Jammu and Kashmir,800000000,1
L65110JK1938SGC000048,JAMMU AND KASHMIR BANK LIMITED,Jammu and Kashmir,556858392,2
U26942JK1982PTC000546,KHYBER INDUSTRIES PRIVATE LIMITED,Jammu and Kashmir,500000000,3
U93000JK2014NPL004127,JAMMU AND KASHMIR INTERNATIONAL TRADECENTRE,Jammu and Kashmir,480000000,4
U40101JK1984PLC000720,GI POWER CORPORATION LIMITED,Jammu and Kashmir,394690000,5
U34101JH1993PTC005546,TATA CUMMINS PRIVATE LIMITED,Jharkhand,1800000000,1
U40101JH1987SGC013153,TENUGHAT VIDYUT NIGAM LIMITED,Jharkhand,1050000000,2
L27106JH1982PLC001633,BIHAR SPONGE IRON LIMITED,Jharkhand,902054030,3
U45201JH2015PLC003025,JHARKHAND INFRASTRUCTURE IMPLEMENTATIONCO LIMITED,Jharkhand,800000000,4
U35914JH2006PTC014951,JOST INDIA AUTO COMPONENT PRIVATELIMITED,Jharkhand,794963550,5
U29221KA2008PTC045987,BOSCH AUTOMOTIVE ELECTRONICS INDIAPRIVATE LIMITED,Karnataka,2130769230,1
U29244KA2003PTC075882,MODEL INFRA CORPORATION PRIVATE LIMITED,Karnataka,2126211590,2
U45205KA2014PTC073973,TECHNOTRENDS AUTOPARK PRIVATE LIMITED,Karnataka,2115100000,3
