REGISTERED_STATE,year,count
Nagaland,1983,39
Karnataka,2019,11141
Dadra and Nagra Haveli,2007,45
Kerala,2019,4825
Tamil Nadu,2019,8627
Andhra Pradesh,2019,2942
Lakshadweep,2009,4
Madhya Pradesh,2019,3087
Punjab,2019,1564
Manipur,2019,223
Goa,2006,635
Mizoram,2019,30
Himachal Pradesh,2019,471
Haryana,2019,6298
Jammu and Kashmir,2019,532
Jharkhand,2019,1500
Orissa,2019,2205
Arunachal Pradesh,2018,36
Gujarat,2019,5787
Uttaranchal,2019,1224
Sikkim,2016,2
Delhi,2011,17132
Chandigarh,2012,812
Pondicherry,2009,153
Andaman and Nicobar Islands,2017,55
Rajasthan,2019,3975
Assam,2010,821
Chattisgarh,2019,827
Meghalaya,2008,57
Daman and Diu,1994,23
Maharashtra,2019,23729
Telangana,2019,8620
West Bengal,2012,17791
Bihar,2019,4403
Tripura,2019,120
Uttar Pradesh,2019,12925
