REGISTERED_STATE,COMPANY_CLASS,class_count
Andaman and Nicobar Islands,Private,460
Andhra Pradesh,Private,30538
Arunachal Pradesh,Private,582
Assam,Private,10816
Bihar,Private,32176
Chandigarh,Private,13248
Chattisgarh,Private,9835
Dadra and Nagra Haveli,Private,442
Daman and Diu,Private,318
Delhi,Private,322131
Goa,Private,8421
Gujarat,Private,95834
Haryana,Private,47457
Himachal Pradesh,Private,5896
Jammu and Kashmir,Private,5430
Jharkhand,Private,13899
Karnataka,Private,117309
Kerala,Private,51449
Lakshadweep,Private,17
Madhya Pradesh,Private,37677
Maharashtra,Private,359291
Manipur,Private,884
Meghalaya,Private,911
Mizoram,Private,149
Nagaland,Private,560
Orissa,Private,24337
Pondicherry,Private,3137
Punjab,Private,28834
Rajasthan,Private,56995
Sikkim,Private,2
Tamil Nadu,Private,137173
Telangana,Private,103757
Tripura,Private,551
Uttar Pradesh,Private,103957
Uttaranchal,Private,8021
West Bengal,Private,186770
